SMILES,Symbol
CC1=CC(NC2=CC(C[N+](C)C)=CC(NC(=O)C3=CC=CC(NC4=CC=NC5=C4C=CC=C5)=C3)=C2)=NC(N)=N1,A1AC7
COC(=O)C1=C(C)NC(C)=C(C(=O)O[C@@H]2CCCN(CC3=CC=CC=C3)C2)[C@@H]1C1=CC=CC([N+](=O)O)=C1,A1AC8
COC1=CC=C2C=C1OC1=CC=C(C=C1)C[C@H]1C3=CC(=C(OC)C=C3CCN1C)OC1=C(OC)C(OC)=CC3=C1C(C2)N(C)C=C3,A1AC9
O=C1CC2=C(C=CC(NC3=C(Br)C=NC(Cl)=N3)=C2)N1,A1ACA
CSC1=NC=C(Cl)C(NC2=CC=C3NC(=O)CC3=C2)=N1,A1ACB
N#CC1=C2N=C(Cl)C=C(NC3=CC4=C(C=C3)NC(=O)C4)N2N=C1,A1ACC
CC1=CN([C@H]2C[C@H](O)[C@@H](COP(=O)(O)CP(=O)(O)OP(=O)(O)O)O2)C(=O)NC1=O,A1ACD
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1C[C@H]1O[C@@H](C3=CC=C(CC4=CC=CC(N)=C4)C=C3)O[C@]12C(=O)CO,A1ACE
CC(=O)N1CC2=C(C[C@H]1C(=O)N1CCCC[C@H]1C(=O)N[C@@H](CC1=CNC3=C1C=C(F)C=C3)C(N)=O)C1=CC=CC=C1N2,A1ACH
CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCC1=CC=C(C2=NNC=C2)C2=C1C=CC=C2)C(C)(C)C,A1ACI
CN1C(C2=CC=CC(Br)=C2OCCO)=NC(C(=O)NC2=CON=C2)=C(O)C1=O,A1ACJ
O=C1NC[C@H]2CCN(C(=O)C3=CC=CC=C3)CC[C@H]12,A1ACK
O=C1CC2=C(C=CC(NC3=C(Cl)C(Cl)=NC=N3)=C2)N1,A1ACL
CC1=C(O)C(/C=N/[C@@H](CC2=CNC3=C2C=CC=N3)C(=O)O)=C(COP(=O)(O)O)C=N1,A1ACN
COC1=CC=CC=C1NC1=CC2=C(C=C1F)N(C1=CSC(C(=O)NC3COC3)=C1)N=C2,A1ACP
O=C1CC2=C(C=CC(NC3=CC(Cl)=NC=C3Cl)=C2)N1,A1ACR
C[C@@H](C1=CC=NC=C1)N1CCC(NC(=O)N[C@H]2CCC[C@@H]2CC2=CC=CC=C2)CC1,A1ACS
COC1=CC=CC=C1NC1=C(F)C=C2C(=C1)C=NN2C1=C(C)SC(C(=O)NC2COC2)=C1,A1ACT
CN1N=NC(C2=CC=C3C(=C2)NC2=C3C(NC3CCC(N)CC3)=NC(CC3=CC=CC=C3)=N2)=N1,A1ACV
O=C1CC2=C(C=CC(NC3=C(F)C=NC(Cl)=N3)=C2)N1,A1ACW
CCCCCCCCCCCCCCCC(=O)OCCCOP(=O)(O)OCC[N+](C)(C)C,A1ACX
CC1=CC(=O)OC2=C1C=CC(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1N)=C2,A1ACY
NC1=C2N=C(Cl)N([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,A1ACZ
CC1(C)[C@@H]2[C@@H](C(=O)N[C@H](CO)C[C@@H]3CCNC3=O)N(C(=O)C3(C4=CC=CC=C4)CC3)C[C@@H]21,A1AD0
C1=CC=C2C(C3=CC=C4C(=C3)N=NN4CC3CCNCC3)=CNC2=C1,A1AD1
COC1=C(CC(=O)O)C2=C(C=C1)C(C)(C)C1=C(O2)C(CC(=O)N2[C@H](C3=CC([N+](=O)[O-])=CC(OC)=C3OCC(=O)O)N(C)C(=O)[C@@H]2C)=C(OC)C=C1,A1AD4
COC(=O)[C@H]1C[C@@]23CCCC[C@H]2[C@@H]2C[C@@H]([C@@H]4CCC[C@H](C)N4)[C@](C)(O3)[C@@H]21,A1AD5
OC1=C2O[C@H]3C4=C(C[C@@]5(O)[C@H]6CC(=C2[C@@]35CCN6CC2CC2)C=C1)C1=C(N4)[C@@H]2OC3=C(O)C=CC4=C3[C@@]23CCN(CC2CC2)[C@H](C4)[C@]3(O)C1,A1AD6
CN1C=C(C2=CC=NC3=C2C=CN3)C(C2=CC=C(F)C=N2)=N1,A1AD7
CC1(C)CN2N=C(C3=CC=C(F)C=N3)C(C3=CC=NC4=C3C=NN4)=C2CO1,A1AD8
CN1C=C(C2=CC=NC3=C2C=CN3)C(C2=CC=C(F)C=C2)=N1,A1AD9
CN(C)C1=NC=C(Cl)C(NC2=CC=C3NC(=O)CC3=C2)=N1,A1ADA
CC1=CC(NC2=CC(CN3CCN(C)CC3)=CC(NC(=O)C3=CC=CC(NC4=CC=NC5=C4C=CC=C5)=C3)=C2)=NC(N)=N1,A1ADB
CN(C)[C@H]1CCN([S@@](=O)(F)=NC2=CC=C(C(=O)N3CCO[C@@H](C4=CC=CC=C4)C3)C(Cl)=C2)C1,A1ADC
CN(C)[C@H]1CCN([S@@](=O)(F)=NC2=CC(Cl)=C(C(=O)N3CCO[C@@H](C4=CC=CC=C4)C3)C(Cl)=C2)C1,A1ADD
CNC(=O)C1=CC=C(C2=C3C=C(C(=O)N(C)C4=CC=C(Cl)C(C(=O)OC)=C4)C=CN3N=C2)C=C1,A1ADE
CN(C)C1=CC=C(/N=N/C2=CC=C(C(=O)O)C=C2)C=C1,A1ADF
CC1=CC=CC=C1N1C(C)=NC2=CC=CC=C2C1=O,A1ADG
O=S(=O)(O)CCN1CCCN(CCS(=O)(=O)O)CC1,A1ADI
CC1(C)C[C@@H](C(=O)N[C@H](CO)C[C@@H]2CCNC2=O)N(C(=O)C2=CC3=CC=CC=C3N2)C1,A1ADM
CC1=CC=C(N2C(C3=CC=CC=C3)=NC3=CC=CC=C3C2=O)C=C1,A1ADN
C[C@@H](CF)C[C@H](N)C(=O)O,A1ADO
C=C1CS[C@H]([C@@H](C=O)NC(=O)[C@H](NC(=O)N2CCN(CC)C(=O)C2=O)C2=CC=C(O)C=C2)N[C@H]1C(=O)O,A1ADP
CC(C)C[C@H](NC(=O)[C@H](CC1=CC=C(F)C=C1)NC(=O)OCC1=CC=CC=C1)C(=O)N[C@@H](C[C@@H]1CCCO1)C[C@H]1CCOC1=O,A1ADS
C=CC1=C(C)C2=CC3=C(C)C(CCC(=O)O)=C4C=C5[N+]6=C(C=C7C(C=C)=C(C)C8=CC1=[N+]2[Fe]6(N34)N87)[C@@](C)(O)[C@@]51CCC(=O)O1,A1ADT
CN(C)[C@@H]1CCN([S@@](=O)(F)=NC2=CC(Cl)=C(C(=O)N3CCO[C@@H](C4=CC=CC=C4)C3)C(Cl)=C2)C1,A1ADU
CN(C)[C@@H]1CCN([S@@](=O)(F)=NC2=CC=C(C(=O)N3CCO[C@@H](C4=CC=CC=C4)C3)C(Cl)=C2)C1,A1ADV
CC1=CC=CC=C1C[C@H](N)C(=O)O,A1ADW
C1=CC=C2C(C3=CC=C4N=NN(CC5CCNCC5)C4=C3)=CNC2=C1,A1ADX
N[C@@H](CC1=CC=CC=C1[N+](=O)[O-])C(=O)O,A1ADY
COC1=CC=CC=C1C[C@H](N)C(=O)O,A1ADZ
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)NCCCCCC#CC2=CC=C3C(=O)C(C(=O)O)=CN(C4CC4)C3=C2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)/C(=N\OC)[C@H](C)[C@H]2OC(=O)O[C@@]21C,A1AE0
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)NCCCCN2CCN(C3=CC4=C(C=C3F)C(=O)C(C(=O)O)=CN4C3CC3)CC2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)/C(=N\OC)[C@H](C)[C@H]2OC(=O)O[C@@]21C,A1AE1
CCCC1=CC=CC=C1OC[C@@H](O)CNCCCC1=CN(CCCCC2=CC=C(OC[C@@H](O)CNC(C)C)C=C2)N=N1,A1AE2
COC1=CC=C(COC2=CC=C(CN3C=NC4=C3N=CC(C(=O)N3CC5(COC5)C3)=C4)C=C2OC)C=N1,A1AE3
CC1=CC=C(C2=CSC(CNC(=O)[C@H]3CCCN(C(=O)COCCF)C3)=N2)C=N1,A1AE6
FC1=CC2=C(C=C1)C(C1=CC3=C(C=C1)N=NN3CCN1CCNCC1)=CN2,A1AE7
C[C@H]1CN2N=CC(C(=O)NC3=CC=CC(C#N)=C3)=C2C(=O)N1C1=CC=C(C(F)(F)C2=CC=CC=C2)C=C1,A1AE8
CC(=O)N1CC2=C(C3=CC=C(C(=O)N4CCCC5=C4C=CC=C5)C=C3)C=NN2C[C@@H]1CC1=CC=CC=C1,A1AE9
CNC1=NC(NC2=CC=C(OC)C(OC[C@H](O)CN3CCC3)=C2)=NC(C)=C1,A1AEB
CN1C=C/C(=C\C2=[N+](CC(=O)NCC3=C(F)C=CC=C3N3C=CC=N3)C3=CC=CC=C3S2)C2=C1C=CC=C2,A1AEC
CN1C=C/C(=C\C2=[N+](CC(=O)NCC3=CC=CC=C3)C3=CC=CC=C3S2)C2=C1C=CC=C2,A1AED
CN1C=C/C(=C\C2=[N+](CC(=O)NCC3=CC=CC=C3N3C=CC=N3)C3=CC=CC=C3S2)C2=C1C=CC=C2,A1AEE
CN1C=C/C(=C\C2=[N+](CC(=O)NCC3=CC=CC=C3F)C3=CC=CC=C3S2)C2=C1C=CC=C2,A1AEF
COC1=CC([N+](=O)[O-])=CC([C@H]2N(C(=O)COC3=CC=C4C=CC(OC)=C(CC(=O)O)C4=N3)[C@@H](C)C3=CC=CC(=O)N32)=C1C,A1AEG
CC1=CC(C(F)(F)F)=NC(NC2=CC=CC=C2C2=NN=NN2)=N1,A1AEI
CC1=C(O)C(/C=N/[C@@H](CCC(=O)O)COC2=CC=CC=C2)=C(/C=C/C2=NN=NN2)C=N1,A1AEJ
CC1=NC=C(C[N+]2=C(CO)SC(CCOP(=O)(O)OP(=O)(O)O)=C2C)C(N)=N1,A1AEK
C/C(=C\C=O)C1=CC=C(C2=CC=C(N(C)C)C=C2)S1,A1AEQ
FC1=CC2=C(C=C1)C(/C=C/C1=NN=NN1)=CN2,A1AER
CN1C2=CC=C(C(F)(F)F)C=C2C(=O)C12CCN(CC1CCOCC1)CC2,A1AEU
CN1C(=O)N(C2=CC=C(C(F)(F)F)C=C2)C(=O)C12CCN(CC1CCOCC1)CC2,A1AEV
COC1=CC=C(Br)C=C1N1C=C(NS(=O)(=O)C2=CC=CC=C2OC)N=N1,A1AEW
C1=CC=C2C(C3=CC=C4N=NN(CN5CCNC5)C4=C3)=CNC2=C1,A1AEY
CC[C@H]1OC(=O)[C@H](C)[C@@H](OC(=O)CCNCCCCNC2=CC3=C(C=C2F)C(=O)C(C(=O)O)=CN3C2CC2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)/C(=N\OCC#CC2=CC(C(=O)NC)=CN=C2)[C@H](C)[C@H]2OC(=O)O[C@@]21C,A1AEZ
C1=CC=C2C(C3=CC=C4N=NN(CCN5CCNCC5)C4=C3)=CNC2=C1,A1AF5
CCCCCCCC/C=C\CCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCCCC)COP(=O)(O)OC[C@H](O)CO,A1AF7
O=C(N[C@@H](CC1=CC=CC=C1)C(=O)O)C1=CC=C(Cl)C=C1Cl,A1AFA
CC1=NC(C)=C(C)S1,A1AFC
O=C(C1=CC(Br)=CN=C1)N1CCN([C@@H](C2=CC=CC=C2)C2=CC=C(Cl)C=C2)CC1,A1AFD
O=C(C1=CN=CC2=C1NC=C2)N1CCC(=C2C3=CC=CC=C3CS(=O)(=O)C3=CC=CC=C23)CC1,A1AFE
CC1=C(C2=CC=C(N3CCC4=CC=CC(C(=O)NC5=NC6=CC=CC=C6S5)=C4C3)N=C2C(=O)O)C=NN1CC12CC3CC(CC(C3)C1)C2,A1AFG
CCOC1=CC2=C(C=CN=C2OC[C@@H]2CCC(=O)N2)C=C1C(N)=O,A1AFH
COC1=CC2=C(C=CN=C2OC[C@@H]2CCC(=O)N2)C=C1C(N)=O,A1AFO
CCC(=O)N1CC[C@H](N2N=C(C#CC3=CC(OC)=CC(OC)=C3)C3=C2N=CN=C3N)C1,A1AFR
C[C@@](O)(CC=O)CC(=O)O,A1AFY
C[C@@H](OC1=CC=C2N=CC3=C(CCOC3)C2=C1)C1=CC(C2=NC(Cl)=CN2)=CN=C1,A1AG0
CC(C)C[C@H](C(=O)NCC1=CC=C(Cl)C(Cl)=C1)N1CC[C@@H](CCC2=CC=CC=C2)N2C[C@H](N)C[C@H]2C1=O,A1AG1
NC1=C2N=C(SC3=CC4=C(C=C3I)OCO4)N(C[C@H]3CCCN(CC4=C(O)C(C=O)=C(F)C=C4)C3)C2=NC=N1,A1AG2
O=C(O)C1=C(F)C=C(NS(=O)(=O)C2=CC=C(Cl)C(Cl)=C2)C=C1,A1AG4
O=C(O)C1=C2C=CC=NC2=C(NS(=O)(=O)C2=CC=C(Cl)C(Cl)=C2)C=C1,A1AG5
CN1C=C2C(C(=O)O)=CC=C(NS(=O)(=O)C3=CC=C(OCC4CCC4)C(Cl)=C3)C2=N1,A1AG6
COC(=O)[C@H]1[C@@H](O)[C@@]2(O)C3=C(C=C(O[C@@H]4O[C@@H]([C@H](O)CO)CO[C@H]4OC)C=C3OC)O[C@@]2(C2=CC=C(OC)C=C2)[C@@H]1C1=CC=CC=C1,A1AG8
CC(C)C[C@H](NC(=O)OC[C@@H]1CCC(=O)N1CC1=CC=CC(F)=C1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)[C@@H](O)S(=O)(=O)O,A1AGA
CC(C)C[C@H](NC(=O)OC[C@@H]1CCC(=O)N1CC1=CC=CC(F)=C1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)O,A1AGB
CC1=C(C)C(=O)C(C/C=C(\C)CCCC(C)CCCC(C)CCCC(C)C)=CC1=O,A1AGD
CC(C)C[C@H](NC(=O)OC[C@@H]1CCC(=O)N1CC1=CC=CC=C1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)O,A1AGF
CC(C)C[C@H](NC(=O)OC[C@@H]1CCC(=O)N1CCC1=CC=CC=C1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)O,A1AGH
CC(C)C[C@H](NC(=O)OC[C@@H]1CCC(=O)N1CC1=CC=CC(Cl)=C1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)O,A1AGJ
CC(C)C[C@H](NC(=O)OC[C@@H]1CCC(=O)N1CCC1CCCCC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)O,A1AGL
CC(C)C[C@H](NC(=O)OC[C@@H]1CCC(=O)N1C[C@H]1C[C@@H]2CC[C@H]1C2)C(=O)N[C@@H](C[C@@H]1CCNC1=O)[C@H](O)S(=O)(=O)O,A1AGM
CC(C)C[C@H](NC(=O)OC[C@@H]1CCC(=O)N1C[C@H]1C[C@@H]2CC[C@H]1C2)C(=O)N[C@@H](C[C@@H]1CCNC1=O)[C@@H](O)S(=O)(=O)O,A1AGN
CC(C)C[C@H](NC(=O)OC[C@@H]1CCC(=O)N1CC1CCC(F)(F)CC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)O,A1AGP
CC(C)C[C@H](NC(=O)OC[C@@H]1CCC(=O)N1C[C@H]1C[C@@H]2C=C[C@H]1C2)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)O,A1AGR
CC(C)C[C@H](NC(=O)OC[C@@H]1CCC(=O)N1CC1=CC=C2OC(F)(F)OC2=C1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)O,A1AGT
CC(C)C[C@H](NC(=O)OC[C@H]1CC(=O)N(C[C@@H]2C[C@@H]3C=C[C@H]2C3)C1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)O,A1AGV
CC(C)C[C@H](NC(=O)OC[C@@H]1CCC(=O)N1CC1CCCCC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)O,A1AGX
CC(C)C[C@H](NC(=O)OC[C@H]1CCC(=O)N1CC1CCCCC1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)O,A1AGZ
CC[C@]1(C2=CC=CC=C2)CCN(C2=CC(=O)N(CCN3CC4(CCN(C5=NC=CN6C=NC=C56)CC4)NC3=O)C(C)=C2)C1,A1AH0
CC[C@]1(C2=CC=CC=C2)CCN(C2=CC(=O)N(C)C(C)=C2)C1,A1AH1
CC1=CC(OC[C@@H](C)C2=CC=CC=C2)=CC(=O)N1CCOC(=O)NCC1=CC=CC(C2=CNC=N2)=C1,A1AH2
N#C[C@@]1(C2=CC=C3C(N)=NC=NN23)O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](O)[C@H](O)[C@@H]2O)[C@@H](O)[C@H]1O,A1AH3
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCSCC(=O)NC1=NC(=O)N([C@@H]2O[C@H](CO)[C@H](O)[C@@H]2O)C=C1,A1AH4
C[C@@H]1C2=CC=C(OC[C@H](C)C3=CC=CC=C3)C=C2C(=O)N1CCOC(=O)NCC1=CC=CC(C2=CNC=N2)=C1,A1AH6
CCC(=O)N(C1=CC=CC=C1)C1(C(=O)OC)CCN(CCC(=O)NCCN)CC1,A1AH7
C1=CC=C2C(C3=CC=C4C(=C3)N=NN4CN3CCNC3)=CNC2=C1,A1AH8
C1=CC=C2C(C3=CC=C4C(=C3)N=NN4CCN3CCNCC3)=CNC2=C1,A1AH9
CCN1C(C2=CC(N3CCN(C)CC3)=CN=C2[C@H](C)OC)=C2CC(C)(C)COC(=O)[C@@H]3CCCN(N3)C(=O)[C@@H](NC(=O)[C@H]3C[C@@H]3C)CC3=NC(=CS3)C3=CC=C1C2=C3,A1AHB
N[C@H]1[C@@H](OC2=CC=C([N+](=O)[O-])C=C2)O[C@H](CO)[C@H](O)[C@@H]1O,A1AHC
CNS(=O)(=O)NC1=C(F)C(CC2=C(C)C3=C(C=C(OC4=C(F)C=CC=N4)C=C3)OC2=O)=CC=N1,A1AHE
CCCCCCCCCCCCCCCCCCCCCC(=O)N[C@H](CO[C@@H]1O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]1O)C(=O)CCCCCCCCCCCCCCC,A1AHF
C[C@@H](NC(=O)CC1=CC=C(C2CC2)C=C1)C1=CC=C(OCC(F)(F)F)C=N1,A1AHH
CC1(C)C[C@@H](CN2CCC(F)(CNC(=O)C3=CC(Cl)=CC(Cl)=C3)CC2)CCO1,A1AHI
CC(C)(C)CCN1C[C@@H]2C(CNC(=O)C3=CC(Cl)=CC(Cl)=C3)[C@@H]2C1,A1AHJ
N#CC1=CC=C(CN2C=CC(NC(=O)CC3=CC=C(C4(C(F)(F)F)CC4)C=C3)=N2)N=C1,A1AHK
CC1=CN([C@@H]2O[C@H](CSCCCCNCC3=CC=CN=C3C(C)(C)C)[C@@H](O)[C@H]2O)C2=C1C(N)=NC=N2,A1AHM
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](N2C=NC3=C2N=CN=C3N)[C@H](O)[C@H]1OP(=O)(O)O)[C@H](O)C(=O)NCCC(=O)NCCSCC(=O)CSC1=NC(=O)N([C@@H]2O[C@@H](CO)[C@H](O)[C@H]2O)C=C1,A1AHN
COC1=CC=C(N(CC2CC2)S(=O)(=O)[C@@H]2C[C@@H]3O[C@H]2C(C2=CC=C(O)C=C2)=C3C2=CC=C(O)C=C2)C=C1,A1AHO
CC1=CC(N2CC[C@](C)(C3=CC=CC=C3)C2)=CC(=O)N1CCNC(=O)NC1CN(C2=NC=CN3C=NC=C23)C1,A1AHP
CC1=CC=C2C=C1NC(=O)CNC(=O)CCCNC(=O)CC1=CC=C(C=C1)NC(=O)[C@@H](NC(=O)C1CCC(CN)CC1)CC1=CC=C2C=C1,A1AHR
COC1=CC=C2C(=C1)CCCN2S(=O)(=O)[C@@H]1C[C@@H]2O[C@H]1C(C1=CC=C(O)C=C1)=C2C1=CC=C(O)C=C1,A1AHS
O=S(=O)([C@@H]1C[C@@H]2O[C@H]1C(C1=CC=C(O)C=C1)=C2C1=CC=C(O)C=C1)N1CCCC2=CC=CC=C21,A1AHU
O=S(=O)([C@H]1C[C@H]2O[C@@H]1C(C1=CC=C(O)C=C1)=C2C1=CC=C(O)C=C1)N1CCC2=CC=CC=C21,A1AHV
COC1=CC=C(N(CCO)S(=O)(=O)[C@@H]2C[C@@H]3O[C@H]2C(C2=CC=C(O)C=C2)=C3C2=CC=C(O)C=C2)C=C1,A1AHW
COC1=CC=C(N(CC(C)(C)F)S(=O)(=O)[C@@H]2C[C@@H]3O[C@H]2C(C2=CC=C(O)C=C2)=C3C2=CC=C(O)C=C2)C=C1,A1AHX
COC1=CC=C(N(C2CCCCC2)S(=O)(=O)[C@H]2C[C@H]3O[C@@H]2C(C2=CC=C(O)C=C2)=C3C2=CC=C(O)C=C2)C=C1,A1AHY
COC1=CC=C(N(C2CCCCC2)S(=O)(=O)[C@@H]2C[C@@H]3O[C@H]2C(C2=CC=C(O)C=C2)=C3C2=CC=C(O)C=C2)C=C1,A1AHZ
CCCCCCCCCCCCCCCC(=O)N[C@@H](CCCCN)C(=O)NCC1=CC=CC(CN[C@H](C(=O)O)[C@H](O[C@@H]2O[C@H](CN)[C@@H](O)[C@H]2O)[C@H]2O[C@@H](N3C=CC(=O)NC3=O)[C@H](O)[C@@H]2O)=C1,A1AI1
[H]/N=C(\N)NCCC[C@H](NC(=O)CCCCCCCCCCCCCCC)C(=O)NCC1=CC=C(CN[C@H](C(=O)O)[C@H](O[C@@H]2O[C@H](CN)[C@@H](O)[C@H]2O)[C@H]2O[C@@H](N3C=CC(=O)NC3=O)[C@H](O)[C@@H]2O)C=C1,A1AI2
CCCCCCCC(=O)N[C@@H](CCO)C(=O)O,A1AI3
CN1CCOC2=C1C(NC(=O)NC1=CC3=C(N=C1)NN=C3)=CC=C2,A1AI6
O=S1(=O)CCC[C@@H](CNC2=NC=NC3=C2C=NN3)C1,A1AI7
C[C@@H](NC1=C2C=CNC2=NC=N1)[C@@H]1CCOC1,A1AI8
O=C(O)C[C@H](NC(=O)C1=CC=C(NC(=O)NC2CC2)C=C1)C1=CC(C(F)F)=CC=C1,A1AI9
CCC1(C2=CC=CC=C2)C(=O)NCNC1=O,A1AIA
CC1=CC(NC(=O)[C@H](C2=CC=CC=C2)N2CCCC3=C2C=CC=C3)=NO1,A1AIB
COC1=CC=C(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](CC2=CC=CC=C2)NC(=O)O[C@H]2C[C@@H](C)O[C@H]2[C@@H]2CCCO2)C=C1,A1AIH
CC(C)(SC1=CC=NC=C1C1=CC=C(C#N)C2=C1C=CC=C2)C(=O)O,A1AIJ
O=C(C1=CC(Cl)=C(O)C(Cl)=C1)N1CS(=O)(=O)C2=CC=CC=C21,A1AIK
O=C(O)CSC1=NN=C(Br)N1C1=CC=C(C2CC2)C2=CC=CC=C12,A1AIL
O=C(NCC1=CC=CC=C1)C1=CC=C(C2=CC=CC3=C2NC=C(C(=O)O)C3=O)C(OS(=O)(=O)F)=C1,A1AIM
OC[C@H](O)[C@@H]1OC(O)[C@@H](O)[C@@H]1O,A1AIO
CC1=NN(C)C=C1C1=CC2=C(N=CN=C2N[C@H](C2=CC=C3CCCS(=O)(=O)C3=C2)C(C)C)N1,A1AIP
CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OC1[C@@H](O)[C@H](O)C(O)[C@@H](O)[C@H]1O)OC(=O)CCCCCCCCCCCCCCC,A1AIS
CC(F)(F)CN1C(=O)C2=C(C(C3=CC=CC4=C3OC(=O)N4)=NN2)[C@@H]1C1=CC=C(OC2=CC(C(F)(F)F)=CC(C(F)(F)F)=C2)C=C1,A1AIT
N#CCCCN,A1AIV
COC1=CC=C2C(CC(=O)N[C@H](CO)[C@H](O)C3=CC=C([N+](=O)[O-])C=C3)=C3C4=CC5=C(C=C4CC[N+]3=CC2=C1OC)OCO5,A1AIX
C[C@H](NC(=O)N1CCC2=CC=CN=C2[C@H]1C1=CC=C(C(F)(F)F)C=C1)C(F)(F)F,A1AIY
CC1=CC2=C(N=C1)N(CC(=O)O)N=C2,A1AJ0
CC(=O)NCC1=NC=CN1,A1AJ1
CNC1=C2C=CC=CC2=CC=N1,A1AJ2
CC1=NSC(N[C@H]2CCC[C@]2(C)CO)=N1,A1AJ3
N#CCC1=N[C@H]2CCCC[C@H]2N1,A1AJ4
C[C@H](N)C1=CN(C2=CC=CC=C2)N=N1,A1AJ5
CS(=O)(=O)NC1CCNCC1,A1AJ6
C[C@H](OC1=CC=CC=C1C#N)C(N)=O,A1AJ7
O=C(C1=CC(F)=CC=C1)N1CCNCC1,A1AJ8
COC1=CC=NC(N2CCNCC2)=N1,A1AJ9
CNC(=O)[C@H]1CCCN1CC1=CC=C2N=C(C3=CC=CC(OC4=CC=C(Cl)C=C4)=C3)N([C@@H](CC(=O)NC3=CC(NS(C)(=O)=O)=CC=C3C)C3=CC=CC=C3Br)C2=C1,A1AJA
CCN(CC)C(=O)C1=CC(C2=CC(CN3CCN(CCCCC4=CC=CC=C4)CC3)=CC(C(=O)N[C@H](CC3CCCCC3)C(=O)NC)=C2)=CC=C1F,A1AJB
CCN(CC)C(=O)C1=CC(C2=CC(N(C)C3CCN(C(=O)C4=CC=C5C(=C4)N=C(C)N5C4=CC=CC=C4)CC3)=NC(NCC3(CC(=O)NC)CCCCC3)=N2)=CC=C1F,A1AJC
CCC/C=C\CCCO,A1AJD
COC1=CC=C(S(=O)O)C=C1C(N)=O,A1AJE
C1=NC2=C(C=CN2)C(N2CC[C@@H](N3C=NC=N3)C2)=N1,A1AJF
O=C(NC1=CC2=C(N=C1)NN=C2)C1=C(Cl)C=NC=C1,A1AJG
O=C(O)[C@@H]1CCCCCN1C(=O)C1=NC=NC2=C1C=CN2,A1AJH
CC1=C(C)C2=C(N=CN=C2NC(=O)[C@@H]2CCO[C@@H]2C)N1,A1AJI
CC1=CC=C(S(=O)(=O)NC2=CC=CC=C2F)C=C1C(=O)NC1=CC2=C(N=C1)NN=C2,A1AJJ
CC1=CC=NC(C2CCN(C3=C4C=CNC4=NC=N3)CC2)=N1,A1AJK
CO[C@]1(C(=O)O)CCN(C(=O)C2=C3C=CNC3=NC=N2)C1,A1AJL
NC(=O)[C@]1(C2=CC=C(F)C=C2)CCCNC1,A1AJM
NCC1(C2=CC=CC=N2)CCCC1,A1AJN
NC1=NN=C(C2=CC=CS2)N1,A1AJO
CN(C)C1=CC(CN)=CC=N1,A1AJP
C1=CC=C2C(N3CCNCC3)=CC=NC2=C1,A1AJQ
C1=CC2=C(CCCN2)N=C1,A1AJR
O=C1CCN(C2=CC=CC=N2)CC1,A1AJS
C[C@@H](CN)N1CCC2=C(C=CS2)C1,A1AJT
C=CC1=CNC=N1,A1AJU
C=CC1=CC=[N+](C)N1C,A1AJV
CC(C)[C@H](CO)NC1=C2C=CNC2=NC=N1,A1AJW
CC(C)[C@@H](NC1=C2C=CNC2=NC=N1)C(N)=O,A1AJX
